Insee,Code postal,Commune,Nombre habitants,Rue,Ordures,Horaires ordures,Reccurence,Tri,Horaires tri,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
10297,10150,Pont Sainte Marie,4976,Rue Pierre Germaine,mardi,-,semaine,jeudi,-,48.315186,4.101083,Rue Pierre Germaine 10150 Pont-Sainte-Marie,0.92,street,10297_0655,,Rue Pierre Germaine,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Allée du Chateau ,mardi,-,semaine,jeudi,-,48.315028,4.101827,Allée du Château 10150 Pont-Sainte-Marie,0.86,street,10297_0135,,Allée du Château,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue Jean Moulin,mardi,-,semaine,jeudi,-,48.315646,4.103561,Rue Jean Moulin 10150 Pont-Sainte-Marie,0.87,street,10297_0461,,Rue Jean Moulin,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue Fernand Jaffiol,mardi,-,semaine,jeudi,-,48.315171,4.105894,Rue Fernand Jaffiol 10150 Pont-Sainte-Marie,0.88,street,10297_0265,,Rue Fernand Jaffiol,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Impasse du Parc,mardi,-,semaine,jeudi,-,48.31465,4.105132,Impasse du Parc 10150 Pont-Sainte-Marie,0.86,street,10297_0630,,Impasse du Parc,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue Bernard Labocey,mardi,-,semaine,jeudi,-,48.314201,4.106869,Rue Bernard Lebocey 10150 Pont-Sainte-Marie,0.8,street,10297_0043,,Rue Bernard Lebocey,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue St Exupery,mardi,-,semaine,jeudi,-,48.315878,4.10565,Rue Saint-Exupery 10150 Pont-Sainte-Marie,0.77,street,10297_0755,,Rue Saint-Exupery,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue du Moulinet,mardi,-,semaine,jeudi,-,48.317134,4.105569,Rue du Moulinet 10150 Pont-Sainte-Marie,0.87,street,10297_0580,,Rue du Moulinet,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue Mal. Leclerc,mardi,-,semaine,jeudi,-,48.319395,4.110044,Rue Maréchal Leclerc 10150 Pont-Sainte-Marie,0.78,street,10297_0502,,Rue Maréchal Leclerc,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Voie aux vaches,mardi,-,semaine,jeudi,-,48.319507,4.106281,Voie aux Vaches 10150 Pont-Sainte-Marie,0.86,street,10297_B076,,Voie aux Vaches,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue des Bouvreuils,mardi,-,semaine,jeudi,-,48.320336,4.109539,Rue des Bouvreuils 10150 Pont-Sainte-Marie,0.87,street,10297_0049,,Rue des Bouvreuils,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue Henri Lemasson,mardi,-,semaine,jeudi,-,48.320817,4.110845,Rue Henri Lemasson 10150 Pont-Sainte-Marie,0.87,street,10297_0390,,Rue Henri Lemasson,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue des Fauvettes,mardi,-,semaine,jeudi,-,48.322119,4.112053,Rue des Fauvettes 10150 Pont-Sainte-Marie,0.87,street,10297_0196,,Rue des Fauvettes,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,
10297,10150,Pont Sainte Marie,4976,Rue des Mésanges,mardi,-,semaine,jeudi,-,48.321828,4.113222,Rue des Mesanges 10150 Pont-Sainte-Marie,0.87,street,10297_0559,,Rue des Mesanges,,10150,Pont-Sainte-Marie,"10, Aube, Grand Est",10297,,,













